
Database             Time                 Version
-------------------- -------------------- ------------------------------
Start: ORCL          29-MAY-2023 08:15:06 Version 21.3.0.0.0

links_v based on arcs_bacon_numbers

View created.

Network detail

Network          #Links  #Nodes    Lev Node                                                                                  Link
--------------- ------- ------- ------ ------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------
Audrey Gelfund     3396     161      0 Audrey Gelfund                                                                        ROOT
                                     1 < Andy Dick                                                                           Being John Malkovich (1999)-1
                                    23                                             < Daniel Hansen*                          Being John Malkovich (1999)-953
                                    23                                             < David Fincher*                          Being John Malkovich (1999)-1012
                                    23                                             < David Wyler (I)*                        Being John Malkovich (1999)-1070
                                    23                                             < Denise Dabrowski*                       Being John Malkovich (1999)-1127
                                    23                                             < Dustin Hoffman*                         Being John Malkovich (1999)-1183
                                    23                                             < Eddie J. Low*                           Being John Malkovich (1999)-1238
                                    23                                             < Elizabeth Rivera*                       Being John Malkovich (1999)-1292
                                    23                                             > Flori Wyler                             Being John Malkovich (1999)-1398
                                    24                                               < Andy Dick*                            Being John Malkovich (1999)-23
                                    24                                               < Audrey Gelfund*                       Being John Malkovich (1999)-96
                                    24                                               < Bill M. Ryusaki*                      Being John Malkovich (1999)-168
                                    24                                               < Bill Wittman*                         Being John Malkovich (1999)-239
                                    24                                               < Brad Pitt*                            Being John Malkovich (1999)-309
                                    24                                               < Byrne Piven*                          Being John Malkovich (1999)-378
                                    24                                               < Cameron Diaz*                         Being John Malkovich (1999)-446
                                    24                                               < Carlos Jacott*                        Being John Malkovich (1999)-513
                                    24                                               < Catherine Keener*                     Being John Malkovich (1999)-579
                                    24                                               < Charlene Grimsley*                    Being John Malkovich (1999)-644
                                    24                                               < Charlie Sheen*                        Being John Malkovich (1999)-708
                                    24                                               < Chelsa Sjostrom*                      Being John Malkovich (1999)-771
                                    24                                               < Christine D. Coleman*                 Being John Malkovich (1999)-833
                                    24                                               < Christine Krejer*                     Being John Malkovich (1999)-894
                                    24                                               < Daniel Hansen*                        Being John Malkovich (1999)-954
                                    24                                               < David Fincher*                        Being John Malkovich (1999)-1013
                                    24                                               < David Wyler (I)*                      Being John Malkovich (1999)-1071
                                    24                                               < Denise Dabrowski*                     Being John Malkovich (1999)-1128
                                    24                                               < Dustin Hoffman*                       Being John Malkovich (1999)-1184
                                    24                                               < Eddie J. Low*                         Being John Malkovich (1999)-1239
                                    24                                               < Elizabeth Rivera*                     Being John Malkovich (1999)-1293
                                    24                                               < Eric Weinstein (I)*                   Being John Malkovich (1999)-1346
                                    24                                               > Gary Sinise                           Being John Malkovich (1999)-1450
                                    25                                                 < Andy Dick*                          Being John Malkovich (1999)-24
                                    25                                                 < Audrey Gelfund*                     Being John Malkovich (1999)-97
                                    25                                                 < Bill M. Ryusaki*                    Being John Malkovich (1999)-169
                                    25                                                 < Bill Wittman*                       Being John Malkovich (1999)-240
                                    25                                                 < Brad Pitt*                          Being John Malkovich (1999)-310
                                    25                                                 < Byrne Piven*                        Being John Malkovich (1999)-379
